,file_x,man_id,tei_x,Unnamed: 0.6,file_y,tei_y,Unnamed: 0.5,file_x,tei_x,Unnamed: 0.4,file_y,tei_y,Unnamed: 0.3,file_x.2,tei_x.2,Unnamed: 0.2,file_y.2,tei_y.2,Unnamed: 0.1,file_x.1,tei_x.1,Unnamed: 0,file_y.1,tei_y.1,man_title,man_field_status_umschrift,man_sig,man_created,man_changed,man_pages,man_chapters,man_website_url,work_id,work_title,work_created,work_changed,werk_signatur_id,werk_website_url,werk_signatur,man_full_sig,fwf,work_status_x,work_status_y,work_status_x.1,work_status_y.1,work_status_x.2,work_status_y.2,work_status_x,work_status_y
10,,99d58741-bf8f-4db2-86a8-0f1ed60fcab9,,10,,,10,,,10,,,10,,,10,,,10,,,10,,,Die okkulte Bedeutung des Traumes,0,/1931.2,1603215244,1641978768,5,0,https://www.freud-edition.net/werke/die-okkulte-bedeutung-des-traumes/druckversion,dce0b091-7de7-4914-8401-998f575029c4,"Freud, Sigmund  (1900-001; 1900a): Die Traumdeutung",1464494742,1672236485,3baf5fcf-dc0a-4db6-ad25-21eb0244795c,https://www.freud-edition.net/traumdeutung,1900-001,1900-001/1931.2,True,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert
11,,9b2d47b4-0d34-4ad1-82e3-ca8855cf301d,,11,,,11,,,11,,,11,,,11,,,11,,,11,,,Träume von Toten,0,/1913.7,1629404149,1641978798,1,0,https://www.freud-edition.net/werke/traume-von-toten/druckversion,dce0b091-7de7-4914-8401-998f575029c4,"Freud, Sigmund  (1900-001; 1900a): Die Traumdeutung",1464494742,1672236485,3baf5fcf-dc0a-4db6-ad25-21eb0244795c,https://www.freud-edition.net/traumdeutung,1900-001,1900-001/1913.7,True,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert
12,,a799fd73-5b5a-4baa-ab89-e2b54ab2403a,,12,,,12,,,12,,,12,,,12,,,12,,,12,,,Rücksicht auf Darstellbarkeit,0,/1913.6,1629404002,1641978823,1,0,https://www.freud-edition.net/werke/rucksicht-auf-darstellbarkeit/druckversion,dce0b091-7de7-4914-8401-998f575029c4,"Freud, Sigmund  (1900-001; 1900a): Die Traumdeutung",1464494742,1672236485,3baf5fcf-dc0a-4db6-ad25-21eb0244795c,https://www.freud-edition.net/traumdeutung,1900-001,1900-001/1913.6,True,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert
13,,11a96260-bbf8-4d13-98f4-49f8ce054575,,13,,,13,,,13,,,13,,,13,,,13,,,13,,,Der Mantel als Symbol,0,/1913.5,1629400743,1641978860,1,0,https://www.freud-edition.net/werke/der-mantel-als-symbol/druckversion,dce0b091-7de7-4914-8401-998f575029c4,"Freud, Sigmund  (1900-001; 1900a): Die Traumdeutung",1464494742,1672236485,3baf5fcf-dc0a-4db6-ad25-21eb0244795c,https://www.freud-edition.net/traumdeutung,1900-001,1900-001/1913.5,True,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert
14,,e0c0dc61-c309-4ff8-83ee-47566468bd88,,14,,,14,,,14,,,14,,,14,,,14,,,14,,,Zwei Zimmer und eines,0,/1913.4,1629400426,1641978887,1,0,https://www.freud-edition.net/werke/zwei-zimmer-und-eines/druckversion,dce0b091-7de7-4914-8401-998f575029c4,"Freud, Sigmund  (1900-001; 1900a): Die Traumdeutung",1464494742,1672236485,3baf5fcf-dc0a-4db6-ad25-21eb0244795c,https://www.freud-edition.net/traumdeutung,1900-001,1900-001/1913.4,True,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert
15,,9b8d8dc2-2934-49ac-83ad-4d933e34c78f,,15,,,15,,,15,,,15,,,15,,,15,,,15,,,Darstellung von Lebenszeiten im Traume,0,/1913.3,1629399550,1641978923,1,0,https://www.freud-edition.net/werke/darstellung-von-lebenszeiten-im-traume/druckversion,dce0b091-7de7-4914-8401-998f575029c4,"Freud, Sigmund  (1900-001; 1900a): Die Traumdeutung",1464494742,1672236485,3baf5fcf-dc0a-4db6-ad25-21eb0244795c,https://www.freud-edition.net/traumdeutung,1900-001,1900-001/1913.3,True,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert
16,,a74dc27d-97c6-483f-b0ae-0be29ede24b9,,16,,,16,,,16,,,16,,,16,,,16,,,16,,,Tageszeiten im Trauminhalt,0,/1913.2,1629399095,1641978952,2,0,https://www.freud-edition.net/werke/tageszeiten-im-trauminhalt/druckversion,dce0b091-7de7-4914-8401-998f575029c4,"Freud, Sigmund  (1900-001; 1900a): Die Traumdeutung",1464494742,1672236485,3baf5fcf-dc0a-4db6-ad25-21eb0244795c,https://www.freud-edition.net/traumdeutung,1900-001,1900-001/1913.2,True,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert
17,,46b9a2c8-44c1-4f5a-92df-3e56cd69f502,,17,,,17,,,17,,,17,,,17,,,17,,,17,,,Traum ohne kenntlichen Anlaß,0,/1913,1629398887,1641978976,1,0,https://www.freud-edition.net/werke/traum-ohne-kenntlichen-anlass/druckversion,dce0b091-7de7-4914-8401-998f575029c4,"Freud, Sigmund  (1900-001; 1900a): Die Traumdeutung",1464494742,1672236485,3baf5fcf-dc0a-4db6-ad25-21eb0244795c,https://www.freud-edition.net/traumdeutung,1900-001,1900-001/1913,True,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert
18,,f24df468-a1c8-405d-9b66-6db91e191724,,18,,,18,,,18,,,18,,,18,,,18,,,18,,,Nachträge zur Traumdeutung,0,/1911.3,1614893032,1641979038,10,0,https://www.freud-edition.net/werke/nachtrage-zur-traumdeutung/druckversion-0,dce0b091-7de7-4914-8401-998f575029c4,"Freud, Sigmund  (1900-001; 1900a): Die Traumdeutung",1464494742,1672236485,3baf5fcf-dc0a-4db6-ad25-21eb0244795c,https://www.freud-edition.net/traumdeutung,1900-001,1900-001/1911.3,True,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert
19,,9fa60f20-e678-4003-83c9-3ec297f3b6ba,,19,,,19,,,19,,,19,,,19,,,19,,,19,,,Nachträge zur Traumdeutung,0,/1911.2,1614892463,1641979207,6,0,https://www.freud-edition.net/werke/nachtrage-zur-traumdeutung/druckversion,dce0b091-7de7-4914-8401-998f575029c4,"Freud, Sigmund  (1900-001; 1900a): Die Traumdeutung",1464494742,1672236485,3baf5fcf-dc0a-4db6-ad25-21eb0244795c,https://www.freud-edition.net/traumdeutung,1900-001,1900-001/1911.2,True,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert,Teilweise transkribiert
