werk_signatur_id,werk_signatur
56e62c7d-fe56-4e14-b988-c33632593b3c,1892-103
408b7b8a-9513-4972-b31b-a111d262895f,1892-191
0ec1e454-ec97-4244-90fa-4a0851d65ff0,1892-121
5908ac55-5647-4d05-81b6-ba36df57b858,1892-001
9257bb1b-6a66-4aa1-93ed-c4ca66b652bb,1892-002
85a33512-c154-484f-a2ef-841d382ef9e0,1892-003
c01a0a81-e762-4568-8496-5194da0707bb,1892-004
bb3f3cad-0243-49d1-ad82-882fff56c483,1892-005
5969d7e5-982b-4899-87d6-4568eb3bdb40,1892-131
cde72a0c-b680-402a-8f8b-1df1c2410952,192-132
be8a9d7d-1ed6-409f-9736-5f87934654b7,1904-005
d7114825-6ff2-4610-9585-6ba2058f65a0,1880-203
c276bec0-ca74-434e-9783-6d2ca9eed8cd,1880-201
62434d83-b14d-4d16-82c6-5dc648c5dd26,1880-202
599fba85-3e91-4986-a431-f99846461470,1885-151
61c426be-0700-4bb5-b923-d5e2949a93cc,1883-111
40250bb5-796f-49be-884a-5af430939460,1883-151
bd8b93fd-5da2-42e2-ae45-01facd63b395,1903-101
c88ff6a3-32c1-43ef-9249-80d99611edad,1903-131
1c0c99c3-00b3-4e07-8866-b3dcc86f208c,1903-301
6260d8c1-ef5a-450d-ac0b-16f09c48ad1a,1904-211
6d389d4e-5c78-4b85-95e8-2f41bc7d580b,1904-131
e6964eb8-8d5b-4c30-afd9-a0e0a93f91f5,103-121
d91f350e-cd29-40ed-b779-043e4ae7fa7e,1904-002
7c4c1003-170a-4956-b4f6-5eef2427d368,1904-006
6a8730f9-e8a0-4441-a5c2-e82ef69cb872,1904-004
f365d70c-1704-4ef7-ba94-c4dbbac22f4f,1904-122
18a02e53-5818-48d6-ad07-c3297fbb34ca,1905-001
4a2e01dd-ea44-4531-bda1-7f07d457ff3b,1905-121
269c5b49-4f63-49ee-ab5b-4197e60f3324,1905-101
95d6c400-9d57-4b77-9c88-a123cde35a67,1905-141
ea6c79c9-57e2-439a-a4fc-7dbd34810744,1905-102
3454d1bf-14e3-448e-9cc1-2fc4cf3e14d6,1903-121
ad445b52-6cd2-4917-b730-c392baa6acfe,1904-003
e3953f42-4eef-4f7b-91fc-74410a893393,1905-131
59811db2-ca1f-4f8b-848c-df72677ccc52,1905-002
a7d3ae1a-1c88-479e-80aa-24a4887244d5,1905-003
3c250933-2526-433d-ba3c-0e09166f096d,1905-004
2deecd4f-b8d4-428b-b6ef-851f823e11f1,1905-005
6c5c3079-856f-4065-b317-07389cb56a15,1905-006
a3885858-354e-45e8-8100-4602a55d1715,1905-007
a45b95c1-89be-4c7f-9a46-e4ef03c7bc0b,1905-008
0f9e455c-8689-4f02-8ecd-57b994e01353,1920-141
3871aada-be72-4cd3-94b3-b484cbb2f242,1920-131
0e598eb1-7e94-4762-b173-878babcb6132,1920-132
c65bf06b-7507-4fe1-b6e0-b4bf081f1074,1920-001
91f4ea07-c18b-4092-9098-466c89617226,1920-002
39611fb6-521e-496c-81ee-9fe4ec7fa677,1920-003
3df0e147-e831-4b40-b4a4-dba16239ca13,1920-004
075dff32-fa65-40f6-8547-734bfd85d524,1920-005
91e0babf-7fe1-4900-bd5e-a3710ec02615,1920-010
7f5ba2ef-9f1a-40b9-b648-4d14555f28bc,1921-101
f4851bb1-bb69-4636-8d4b-9a55a05085a8,1921-001
d592ffe7-dc40-4c37-91b1-fd55ab776609,1921-002
61a6216a-04bd-486e-b723-60823090b286,1921-003
0e34cce9-d81e-43db-a4fc-9ce9798f3200,1921-004
60d39f71-efd1-490d-8c65-bc5b1af33481,1921-005
f545912e-34f1-4f1d-980e-2939ba1e27ea,1922-101
0c8f626c-fc53-44ab-9793-1ee86f7b84c3,1922-211
0e36dded-5824-4873-ae4d-8d3520240578,1922-001
d594ebbb-3c7a-49cc-8ce2-fc518bdb133a,1922-002
d1594656-5660-4ffe-92ee-a1e0a8dfe58e,1922-003
1a4bae5a-49bc-4ccb-9768-198ce50d0bd2,1922-004
f183867d-c6a5-4818-affd-e600eceef0f5,1922-005
a8f28feb-b078-40ca-935e-7d2ac935f93f,1922-006
5197c092-4084-441f-b06b-5e4cc9c21633,1922-007
039c5be6-ab55-4c16-88ca-5721b9f143b9,1922-008
8eb4b08a-8da4-49d1-963a-3d264b07c253,1922-009
bd38c914-457d-4626-8857-21ce253333b0,1923-001
f33b2007-ee93-45b1-b199-41dd02452223,1923-002
20396575-fb19-48c7-82bb-545e76379f27,1923-003
1c77b42a-cad0-4938-9717-7b209cee9686,1923-004
a4a21642-7ece-4f51-9ed2-f2e56b1d8890,1923-005
497c858c-e1d0-4353-a765-4a65a30cb77a,1923-006
dc2a14d1-6dfd-4093-8cb5-6ec07f36aca4,1923-007
7c171cd4-cd13-4c33-90b5-0fc9e8005bd0,1923-008
ec3f9d64-68af-403d-8975-75c7247bd6c7,1923-009
db6da005-34cb-4481-bc17-067c2aaf2ab0,1923-171
85415360-1c5e-415e-bd03-da189ce64f8d,1923-211
41b879ff-d35e-4d9c-b3c8-9c28798da5f8,1923-131
87f8aa9c-6892-47c9-b1a8-bc2f360f09f1,1923-301
85b4d24b-7625-46cc-b5fb-aec3520d1ce8,1923-212
3552ac8a-d206-4840-9c8e-56a7a2bc67b2,1923-213
6d107068-6231-4db7-83a4-5801f96e4eae,1924-211
275a9889-3a59-4a99-bef1-b5f5d1fc82e2,1924-141
15d131dc-e725-4682-9bca-3c4cab02d0a1,1924-001
4dfc5d79-a851-4150-ad17-09b53d5967e9,1924-002
fd7943e9-6bc4-46ca-94ab-cb3503df7184,1924-003
1c18744a-ff71-46ac-b0a1-c139455a8aa3,1924-004
3b17f708-dbb8-4715-a757-b7b64e943970,1924-006
08dc5222-9658-42ee-9c3e-a2a2b4a6ba28,1925-211
81993106-0721-4ced-84f4-6a4d3846aa77,1925-001
6bbfd426-9bab-41f1-9d99-feed3368a00e,1925-012
2658a25e-7c09-4741-8074-b17981f22857,1925-011
befa736d-6abe-448c-92a6-90ffa0067c86,1925-010
86c3797f-dda4-40ad-b54e-e2fbdf552fa9,1925-009
87163967-5ae5-4270-b193-4090fcfda93d,1925-008
455476aa-a755-4a76-a589-58815eb7f558,1925-007
0ce002af-b27e-46f9-856a-9e74bfead9cf,1925-006
a8aabe85-b929-403f-ab3a-c04a5e7e5a40,1925-005
7d168569-f8be-4047-b2ab-3b7a75c21e75,1925-004
5b242a7e-d4bb-4959-a159-f01794f18644,1925-003
9a79547f-a855-45c8-8800-3a53b80189c5,1925-002
f1ac6564-8bf5-49f2-ba2b-6f0f5e0b7cac,1926-001
f531e197-c626-4b06-90fe-ec24f1ee4639,1926-002
60f858ee-da25-4c49-a62a-75c878e4aa7f,1926-012
996c7376-a68e-4b50-a84b-5ab1f366a013,1926-011
38f2eed4-a9ec-4dde-b723-c69d4866a9b7,1926-010
d418ae49-8c87-441c-91c8-507dee9cb881,1926-009
f4595450-17d4-4a7e-8531-6bea2ed3de3a,1926-008
7d13faa8-46a5-46b1-a399-df6dc65dd8e8,1926-006
c362c4be-887d-4b61-bdd2-62fae76a34ba,1926-005
7c6cc69f-eba8-4b0b-b2d3-d556ec0bcaa4,1926-004
6e5291ac-fa42-4af2-8cb4-eb182b98de51,1926-003
7baf6b93-e3e4-478e-b894-5cb9f05d8542,1926-201
8d3b26b2-b81a-49e9-bc39-752f23418aef,1926-301
e63812b3-affe-4525-9b87-d6bb22234cfe,1927-002
d3f2a291-f067-42f4-b6be-7e8bfca5fa32,1927-003
3b347d02-9c02-4a0f-8966-068ccee8ed36,1927-004
26783b79-68a6-4232-9cc8-b305094c70de,1927-005
c21f2c92-b1c3-4ffe-a299-6240567071a5,1927-006
85539ae6-ec77-4af5-a10d-56a740add361,1927-211
93025712-4015-4ccb-a358-1bcde7be2026,1927-008
d58ba07e-40c9-4c0c-8700-8bd6eac26788,1927-009
41175c67-662b-47e1-8bb5-438e76871330,1927-010
ae699f74-759e-4a5d-bfed-5664ca30ec77,1928-001
47925cfb-f4f4-4fbd-83e3-284afaeabaac,1927-212
279a86b5-06ae-4b45-90ee-b37dbaf6daa4,1927-213
4b0997b3-dffa-4f68-8609-54949f1829c0,1927-214
072623fb-4b4e-4a72-9124-3ea219838edc,1927-215
8337a062-6482-440a-8e7c-c34b776610bc,1927-216
7bc9a559-e4c2-4b41-aec5-c7fba7279fc9,1928-002
3c97c21c-1b6e-4e73-bf85-0e1c0be71122,1928-003
32421d3b-ce0b-47e9-91dd-5c12e1dc65bf,1928-004
b7096fa2-da2d-41e1-834b-4eba7103e6f7,1919-211
4234b7dc-d058-4072-bcc7-5c3eb86b3444,1929-101
e5d92dcb-ca6d-49dd-a70f-3de5fe2cd8c2,1929-212
bcb1cd8f-5bb2-4d2b-ac03-23e617b052e8,1929-001
49e9c1b0-2b77-406d-bf39-75f2ccd7012e,1929-002
51d8dff8-c924-4c67-b6d0-430169fc6f6a,1929-003
155da6b5-444e-4a28-a1e0-5eaa2e53671b,1929-004
b5035764-b67e-4259-bb15-743da7dc42c8,1930-004
dc8f1a47-ded8-488b-afb5-3567ce5b1d30,1930-131
be5ff614-2512-4783-a883-7f30e4c2c2a4,1930-001
a2a746ed-646c-4bb3-8a91-c52b222194d1,1930-005
f2878894-c948-47c6-9338-07bf4cecb78a,1930-006
e6383dfa-f97c-4b3f-86a0-31cc5a7d5264,1930-007
f8ddf2ec-dd5a-4db1-8274-c4b65d7ece0d,1930-008
df21504a-a968-44ea-a926-696c81567248,1930-009
2787d25b-58f8-4186-9af7-e9e370bbcfe7,1931-004
199a9e71-ebb8-4e6a-a69a-61cfbd1071f2,1931-005
4328b7ca-03ae-4045-bbbe-5d2332e88bfd,1931-001
12a0458d-02af-4613-86cf-0aa45523fc2a,1931-002
2a83ce23-3aa4-4bb2-8c83-f696281aca3b,1931-006
5e2de3da-71e3-4279-b7a7-0aebbe88d5a8,1932-001
840d9652-8313-4c8e-960b-1aa73defb3c2,1932-002
1b1f8328-8428-412c-b347-42d07364e64a,1932-003
85f227ac-f498-4d27-8f66-05cde9e84aad,1932-005
949adf30-48f5-44e2-b4cb-d04c985ccbfa,1932-006
0099949a-ec6d-4ee8-a2d0-50608bbb0313,1932-101
6492b627-665a-4745-beea-f76fbad0167b,1932-211
bb8dcc41-e242-427f-ac5e-c923f56fafcd,1832.212
68cb285f-43a4-4133-92cc-e701ef6f25c8,1932-213
de52cbab-94d7-4263-a0fa-7aa6d2d4ba8a,1933-001
cb5db3cd-0c5d-4ea1-b4ca-e7eaac469094,1933-002
057f3bf3-8b16-470e-a77c-aef45dcbd8f2,1933-003
107bf95d-0398-45aa-b47b-ebe4c9c2d074,1933-004
28e97ff4-1fef-437b-bc3b-7598d928ac6e,1935-161
efd2dd59-22b9-4f4a-b9c9-41cf8b2fb3c4,1935-211
4e9b7623-6800-450d-8e4a-42af2b18039e,1935-001
015d49ca-5ffe-470d-a221-695237e8182c,1935-002
541d3547-52aa-485d-97b0-f1de4a7494ed,1935-003
48e6c071-e205-4d05-83c1-4f96013e2c26,1935-004
df237c20-95e4-4b85-b821-cd2297b97d54,1935-005
